srno,name,link,2024-10-08,2024-10-09,2024-10-10,2024-10-11,2024-10-12,2024-10-13,2024-10-14,2024-10-16,2024-10-24
11,Allen Solly Men's Slim Fit Shirt,https://www.amazon.in/Allen-Solly-Geometric-Regular-ASSFWMOFO48848_White_44/dp/B07DMQRD6H/ref=sr_1_3?_encoding=UTF8&content-id=amzn1.sym.66e21b5a-c704-4638-9291-e1a98f6a43db&dib=eyJ2IjoiMSJ9.HOCkUWZq8pt_T-lPRkBmxcp1vupGZ4g_eMJVbtoQZOkhnEMDZVRprzlmwv1UQLMUFqWwunttESzPeFuzSZ7VsN2I83CNdG-jYTSR-rcNSJDwoNmruhJyYbEiuQBA5j09_jgJxK295kuJm1eVqkgFXhgZFZ1KWMl4MYIAO0PahddcH10LnI9Cyj80lm0HQ848StSV2F9J44j7kgS8IRiKZCe1Xo9arl5bfgqnUnb2JLq8qL8eAfp6w3D-WbryyQR5eYQ6dAMlsABi_HNcDumnD9BQ-zqnZL5RmBD8BeWJUUI.e5AjPQVB1DfOSU3muqFlpjgnefNq-u7mhXJWD7hElh4&dib_tag=se&pd_rd_r=f28bc8f3-6704-4718-aa6e-a04c815ce78a&pd_rd_w=1d3pg&pd_rd_wg=HGfkR&pf_rd_p=66e21b5a-c704-4638-9291-e1a98f6a43db&pf_rd_r=DX2M6VQNJWXJMSB303AK&qid=1728209631&refinements=p_36%3A50000-%2Cp_85%3A10440599031%2Cp_n_pct-off-with-tax%3A2665401031&rnid=2665398031&rps=1&s=apparel&sr=1-3,₹859,₹859,₹859,₹859,₹859,₹959,₹959,,
12,adidas Mens League L Fg running Shoe,https://www.amazon.in/adidas-League-CBLACK-FTWWHT-Running/dp/B0C3WH33CK/ref=sr_1_6?crid=TOFDX2PHYL9B&dib=eyJ2IjoiMSJ9.CjDRAAC0uXhVvQ9_hSUsMnVluYpiHIepP1D5sKQ7drwt6BGRS8onq8c9cloqmBIMkYRyq0qM9A5W_mECbhvM91wgX2pbzCzO0rZdRTKMaiJ5XEk6F8ThPON0gvhShOzzEpaJA5rl5J9yZY8GtHaG8OXsvP5L2A5suXCcZe-zJBAIpq5h2oYTdNlOeEr0KfL_qlZyLx4V-_FmUAzlzDpeYtl6khzF4C7oFzPPA7ha3wMLfrko74ttIH6a6BZoexZ1cLHfw9t79PiecwiPHfaFjfhcodjJ-o_5GYHguvJ3-MA.SH_9tYba7Uq60otoSPrN-iNjTtrZHreBQoEdMjLTN5k&dib_tag=se&keywords=adidas+predator+football+shoes+for+men&nsdOptOutParam=true&qid=1728209512&sprefix=adidas+predator+football+%2Caps%2C245&sr=8-6,"₹5,279","₹5,119","₹4,959","₹4,959","₹4,959","₹5,119","₹5,119",,
13,"Oneplus Nord CE4 (Celadon Marble, 8GB RAM, 128Gb Storage)",https://www.amazon.in/dp/B0CX58MTNN?pd_rd_w=TRPfL&content-id=amzn1.sym.e5c3fc1c-1b43-489a-b13c-379b3db20f31&pf_rd_p=e5c3fc1c-1b43-489a-b13c-379b3db20f31&pf_rd_r=WKJMJJ6VQE00FB1E0GSN&pd_rd_wg=2xNLd&pd_rd_r=1655cd53-1dae-4bad-abe1-7094c9c02fee&th=1,"₹23,499","₹23,499","₹23,499","₹23,499","₹23,499","₹23,499","₹23,499",,
14,Acer 109 cm (43 inches) Super Series 4K Ultra HD Smart QLED Google TV AR43QDXGU2875AT (Black) 2024 Model,https://www.amazon.in/gp/product/B0D9BWTQLL/ref=s9_bw_cg_BULATVHB_4b1_w?pf_rd_m=AT95IG9ONZD7S&pf_rd_s=merchandised-search-11&pf_rd_r=D9MEEN8KG0FM94733HE8&pf_rd_t=101&pf_rd_p=d14bbe6c-e475-4bf8-a7d3-bb7ca5c45b86&pf_rd_i=9899981031&th=1,,"₹26,999","₹27,499","₹27,999",,"₹28,999","₹28,999",,
15,"LG 655 L Frost Free Smart Inverter Double Door Side by Side Refrigerator (2023 Model, GL-B257HWBY, Western Black, Express Freezing | Multi Air-Flow)",https://www.amazon.in/gp/product/B0CM9HND4R/ref=s9_bw_cg_BULATVHB_2c1_w?pf_rd_m=AT95IG9ONZD7S&pf_rd_s=merchandised-search-11&pf_rd_r=D9MEEN8KG0FM94733HE8&pf_rd_t=101&pf_rd_p=d14bbe6c-e475-4bf8-a7d3-bb7ca5c45b86&pf_rd_i=9899981031,"₹72,990","₹72,990","₹72,990","₹72,990","₹72,990","₹74,999","₹74,999",,
16,"Oneplus Bullets Z2 Bluetooth Wireless in Ear Earphones with Mic, Bombastic Bass - 12.4 mm Drivers, 10 Mins Charge - 20 Hrs Music, 30 Hrs Battery Life, IP55 Dust and Water Resistant (Magico Black)",https://www.amazon.in/Oneplus-Bluetooth-Wireless-Earphones-Bombastic/dp/B09TVVGXWS?pd_rd_w=HUB9O&content-id=amzn1.sym.0e14c986-d38e-41c4-a8ad-a8baddfeddce&pf_rd_p=0e14c986-d38e-41c4-a8ad-a8baddfeddce&pf_rd_r=956HA1ZZZTBQSS1662S9&pd_rd_wg=qydzu&pd_rd_r=e5b04dd5-e1de-4305-8c18-642e668588a9&pd_rd_i=B09TVVGXWS&ref_=pd_hp_d_btf_unk_B09TVVGXWS,"₹1,299","₹1,299","₹1,399","₹1,399","₹1,399","₹1,399","₹1,399",,
17,"Apple MacBook Air Laptop: Apple M1 chip, 13.3-inch/33.74 cm Retina Display, 8GB RAM, 256GB SSD Storage, Backlit Keyboard, FaceTime HD Camera, Touch ID. Works with iPhone/iPad; Space Grey",https://www.amazon.in/Apple-MacBook-Chip-13-inch-256GB/dp/B08N5W4NNB/ref=sr_1_3?crid=1L48JO7BL85L3&dib=eyJ2IjoiMSJ9._8IF116VP2gf_ZfUpGuV5QZLcwlHXJMs6ch6PuZidbj8euDdskHOnRWL_EFU90lhK_m_NldC_WWIbv3d3YFhmFfMmmtIT-jKepVgK6KjRVqhvjpezyvH7DO37vzIED0pV8BxFaNTDquMDYHMEftVrLMlY61A7R_Z4nQXHck2rfu5Z4PPDOHMkLRiyWfwlFy7fRSkiEBInOdqbnc3m7sejRBj3nRcnfWwKuWY2yhMjW8.rf1O01Vj1ysydBUCk5KfU2yg9QsnfyraAJI4fYwFqcY&dib_tag=se&keywords=macbook+m1&qid=1728208685&sprefix=macbook+%2Caps%2C375&sr=8-3,"₹59,990","₹59,990","₹59,990","₹59,990","₹59,990","₹59,990","₹59,990",,
18,"Samsung Galaxy M55s 5G (Coral Green,8GB RAM,128GB Storage) | 50MP Triple Cam| 5000mAh Battery| Snapdragon 7 Gen 1 | 4 Gen. OS Upgrade & 5 Year Security Update| Super AMOLED+ Display| Without Charger",https://www.amazon.in/Samsung-Storage-5000mAh-Snapdragon-Security/dp/B0DG2D3Z91?pd_rd_w=NIR2z&content-id=amzn1.sym.388dcce2-b249-4f9a-87c7-eb32ab92e7c8&pf_rd_p=388dcce2-b249-4f9a-87c7-eb32ab92e7c8&pf_rd_r=WGE9XYEEANX3JVN71FZ1&pd_rd_wg=sg37N&pd_rd_r=82cf1458-182a-40ee-8e40-c7908b0e7462&pd_rd_i=B0DG2D3Z91&ref_=pd_hp_d_btf_unk_B0DG2D3Z91,"₹19,999","₹19,999","₹19,999","₹19,999","₹19,999","₹19,999","₹19,999",,
19,"ASUS TUF Gaming A15, Ryzen 7 7435HS, 15.6-inch (39.62 cm) FHD 144Hz, Gaming Laptop (16GB RAM/512GB SSD/NVIDIA GeForce RTX 3050/Windows 11/48WHr/Graphite Black/2.3 Kg), FA506NCR-HN054W",https://www.amazon.in/ASUS-15-6-inch-GeForce-Graphite-FA506NCR-HN054W/dp/B0D5DFR78J?pd_rd_w=Rwo9P&content-id=amzn1.sym.4208c4b0-bca1-4d25-819d-4a63e3b5b520&pf_rd_p=4208c4b0-bca1-4d25-819d-4a63e3b5b520&pf_rd_r=GKHV779Q3HSYT87BYBDX&pd_rd_wg=X3GbM&pd_rd_r=a7856cb6-8cb4-461d-869b-b453d83e96c2&pd_rd_i=B0D5DFR78J&ref_=pd_hp_d_btf_unk_B0D5DFR78J,"₹72,990","₹60,990","₹60,990","₹60,990","₹60,990","₹60,990","₹60,990",,
20,Sony Bravia 139 cm (55 inches) 4K Ultra HD Smart LED Google TV KD-55X74L (Black),https://www.amazon.in/Sony-Bravia-inches-Google-KD-55X74L/dp/B0C1HCJVT5?pf_rd_p=e2f82c8f-bcb3-499d-a9f9-c0b2115f6319&pf_rd_r=Q4QAGNZQR5032H7PTSBM&ref_=TV_jup24_Deals_B0C1HCJVT5,"₹54,990","₹54,990","₹54,990","₹54,990","₹54,990","₹54,990","₹54,990",,
